,Symbol,Name,Sector,Industry,Type
21,ABR,Arbor Realty Trust Common Stock,Real Estate,Real Estate Investment Trusts,EQUITY
22,ABSI,Absci Corporation Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,EQUITY
23,ABT,Abbott Laboratories Common Stock,Health Care,Medical/Dental Instruments,EQUITY
24,ABUS,Arbutus Biopharma Corporation Common Stock,Health Care,Pharmaceuticals and Biotechnology,EQUITY
25,ABVC,ABVC BioPharma Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,EQUITY
26,AC,Associated Capital Group Inc. Common Stock,Finance,Investment Bankers/Brokers/Service,EQUITY
27,ACAB,Atlantic Coastal Acquisition Corp. II Class A Common Stock,Industrials,Consumer Electronics/Appliances,EQUITY
28,ACABU,Atlantic Coastal Acquisition Corp. II Unit,Industrials,Consumer Electronics/Appliances,EQUITY
29,ACAC,Acri Capital Acquisition Corporation Class A Common Stock,Industrials,Consumer Electronics/Appliances,EQUITY
30,ACAD,ACADIA Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,EQUITY
31,ACB,Aurora Cannabis Inc. Common Shares,Health Care,Pharmaceuticals and Biotechnology,EQUITY
32,ACCD,Accolade Inc. Common Stock,Technology,Interactive Media,EQUITY
33,ACCO,Acco Brands Corporation Common Stock,Consumer Discretionary,Advertising,EQUITY
34,ACDC,ProFrac Holding Corp. Class A Common Stock,Industrials,Metal Fabrications,EQUITY
35,ACEL,Accel Entertainment Inc. ,Consumer Discretionary,Recreational Games/Products/Toys,EQUITY
